"","PSID","Gene","Module"
"MYO9A","MYO9A","MYO9A","MsAge7K_03"
"ATF3","ATF3","ATF3","MsAge7K_00"
"VWF","VWF","VWF","MsAge7K_07"
"SLC26A7","SLC26A7","SLC26A7","MsAge7K_07"
"GPR182","GPR182","GPR182","MsAge7K_07"
"ANO1","ANO1","ANO1","MsAge7K_06"
"ITGAL","ITGAL","ITGAL","MsAge7K_00"
"AQP1","AQP1","AQP1","MsAge7K_00"
"COL1A2","COL1A2","COL1A2","MsAge7K_00"
"SLC17A6","SLC17A6","SLC17A6","MsAge7K_02"
"BUB1B","BUB1B","BUB1B","MsAge7K_00"
"ZIC5","ZIC5","ZIC5","MsAge7K_06"
"PIEZO2","PIEZO2","PIEZO2","MsAge7K_00"
"CARTPT","CARTPT","CARTPT","MsAge7K_00"
"SLC13A3","SLC13A3","SLC13A3","MsAge7K_07"
"GJB2","GJB2","GJB2","MsAge7K_07"
"OR2AK2","OR2AK2","OR2AK2","MsAge7K_05"
"DHX58","DHX58","DHX58","MsAge7K_00"
"CASR","CASR","CASR","MsAge7K_01"
"DUSP1","DUSP1","DUSP1","MsAge7K_13"
"KCNE2","KCNE2","KCNE2","MsAge7K_00"
"AEBP1","AEBP1","AEBP1","MsAge7K_07"
"TNFRSF8","TNFRSF8","TNFRSF8","MsAge7K_00"
"ELN","ELN","ELN","MsAge7K_00"
"CLDN2","CLDN2","CLDN2","MsAge7K_00"
"COL9A1","COL9A1","COL9A1","MsAge7K_00"
"NME9","NME9","NME9","MsAge7K_14"
"GABRR2","GABRR2","GABRR2","MsAge7K_00"
"SCTR","SCTR","SCTR","MsAge7K_00"
"TNNI3K","TNNI3K","TNNI3K","MsAge7K_05"
"FPGT-TNNI3K","FPGT-TNNI3K","FPGT-TNNI3K","MsAge7K_05"
"MEOX1","MEOX1","MEOX1","MsAge7K_00"
"IFI44","IFI44","IFI44","MsAge7K_00"
"LDLRAP1","LDLRAP1","LDLRAP1","MsAge7K_01"
"BDKRB2","BDKRB2","BDKRB2","MsAge7K_04"
"ITGAD","ITGAD","ITGAD","MsAge7K_00"
"CORIN","CORIN","CORIN","MsAge7K_06"
"SIK1","SIK1","SIK1","MsAge7K_13"
"SIK1B","SIK1B","SIK1B","MsAge7K_13"
"NHLH1","NHLH1","NHLH1","MsAge7K_00"
"UGT8","UGT8","UGT8","MsAge7K_01"
"TNNT1","TNNT1","TNNT1","MsAge7K_00"
"RPE65","RPE65","RPE65","MsAge7K_02"
"CYR61","CYR61","CYR61","MsAge7K_13"
"TNFSF10","TNFSF10","TNFSF10","MsAge7K_00"
"JUNB","JUNB","JUNB","MsAge7K_13"
"RNF207","RNF207","RNF207","MsAge7K_00"
"ZBBX","ZBBX","ZBBX","MsAge7K_00"
"NEU2","NEU2","NEU2","MsAge7K_00"
"TMEM255B","TMEM255B","TMEM255B","MsAge7K_02"
"NRG1","NRG1","NRG1","MsAge7K_02"
"TDRD1","TDRD1","TDRD1","MsAge7K_00"
"LAG3","LAG3","LAG3","MsAge7K_04"
"IFITM2","IFITM2","IFITM2","MsAge7K_04"
"IFITM3","IFITM3","IFITM3","MsAge7K_04"
"IFITM1","IFITM1","IFITM1","MsAge7K_04"
"SIGLEC1","SIGLEC1","SIGLEC1","MsAge7K_07"
"EGR1","EGR1","EGR1","MsAge7K_13"
"SLC11A1","SLC11A1","SLC11A1","MsAge7K_04"
"CST7","CST7","CST7","MsAge7K_04"
"NLRC4","NLRC4","NLRC4","MsAge7K_00"
"SHISA8","SHISA8","SHISA8","MsAge7K_01"
"DCAF12L2","DCAF12L2","DCAF12L2","MsAge7K_00"
"C1QTNF7","C1QTNF7","C1QTNF7","MsAge7K_05"
"NXPH2","NXPH2","NXPH2","MsAge7K_00"
"PLEKHF1","PLEKHF1","PLEKHF1","MsAge7K_00"
"CRYGN","CRYGN","CRYGN","MsAge7K_00"
"COL6A5","COL6A5","COL6A5","MsAge7K_00"
"DNMT3B","DNMT3B","DNMT3B","MsAge7K_00"
"MYL4","MYL4","MYL4","MsAge7K_00"
"ALOX12B","ALOX12B","ALOX12B","MsAge7K_00"
"CALB2","CALB2","CALB2","MsAge7K_06"
"CILP2","CILP2","CILP2","MsAge7K_00"
"RNF213","RNF213","RNF213","MsAge7K_03"
"CNGB1","CNGB1","CNGB1","MsAge7K_00"
"LOX","LOX","LOX","MsAge7K_00"
"HSPB1","HSPB1","HSPB1","MsAge7K_00"
"WDR49","WDR49","WDR49","MsAge7K_14"
"PTPRC","PTPRC","PTPRC","MsAge7K_04"
"VWA5B1","VWA5B1","VWA5B1","MsAge7K_00"
"TRIM14","TRIM14","TRIM14","MsAge7K_04"
"ADGRF2","ADGRF2","ADGRF2","MsAge7K_00"
"ZC3HAV1","ZC3HAV1","ZC3HAV1","MsAge7K_04"
"PROM2","PROM2","PROM2","MsAge7K_04"
"DEPDC7","DEPDC7","DEPDC7","MsAge7K_00"
"PDE6C","PDE6C","PDE6C","MsAge7K_00"
"DBH","DBH","DBH","MsAge7K_00"
"AHNAK2","AHNAK2","AHNAK2","MsAge7K_00"
"HAPLN2","HAPLN2","HAPLN2","MsAge7K_09"
"GBP6","GBP6","GBP6","MsAge7K_00"
"PTH2R","PTH2R","PTH2R","MsAge7K_02"
