"","GeneL","modulesA1L"
"447","ADAMTS12","MsAge7K_00"
"448","SPATA18","MsAge7K_14"
"449","CNMD","MsAge7K_00"
"450","ZNF704","MsAge7K_03"
"451","OTOF","MsAge7K_00"
"452","EFEMP1","MsAge7K_00"
"453","ACAP1","MsAge7K_14"
"454","ISG20","MsAge7K_00"
"455","IL1RAPL2","MsAge7K_02"
"456","RGS16","MsAge7K_00"
"457","NCF1","MsAge7K_00"
"458","HEXB","MsAge7K_00"
"459","TLR1","MsAge7K_00"
"460","CNN1","MsAge7K_07"
"461","MYLK3","MsAge7K_11"
"462","DRD1","MsAge7K_02"
"463","E2F2","MsAge7K_00"
"464","MPP4","MsAge7K_00"
"465","BMP4","MsAge7K_00"
"466","GLIS1","MsAge7K_08"
"467","DES","MsAge7K_00"
"468","PLA1A","MsAge7K_00"
"469","CFAP161","MsAge7K_06"
"470","OLFML2A","MsAge7K_07"
"471","IL27RA","MsAge7K_00"
"472","XAF1","MsAge7K_04"
"473","CMKLR1","MsAge7K_04"
"474","LOXL4","MsAge7K_00"
"475","DNAI2","MsAge7K_00"
"476","RAMP3","MsAge7K_00"
"477","IDE","MsAge7K_00"
"478","FIBIN","MsAge7K_07"
"479","EDN1","MsAge7K_00"
"480","ADCYAP1","MsAge7K_05"
"481","ALDH3A1","MsAge7K_00"
"482","COL6A2","MsAge7K_05"
"483","UNC13D","MsAge7K_00"
"484","ANKUB1","MsAge7K_09"
"485","GEM","MsAge7K_00"
"486","C9orf116","MsAge7K_00"
"487","PLCH1","MsAge7K_02"
"488","PHF19","MsAge7K_00"
"489","OPRK1","MsAge7K_00"
"490","CENPF","MsAge7K_01"
"491","RPGRIP1","MsAge7K_00"
"492","RAC2","MsAge7K_00"
"493","SERPINA12","MsAge7K_00"
"494","KCNIP4","MsAge7K_08"
"495","MUC3A","MsAge7K_00"
"496","NKX6-2","MsAge7K_09"
"497","CDH3","MsAge7K_00"
"498","TMPRSS7","MsAge7K_00"
"499","STAT5A","MsAge7K_00"
"500","PIK3AP1","MsAge7K_00"
"501","CD300LG","MsAge7K_00"
