"","CellType_Vs_Others","MsGene"
"GNE","MicrogliByothersCuffdiff2FCover20","Gne"
"GNG2","NeuronByothersCuffdiff2FCover20","Gng2"
"GNG8","MyeOligoByothersCuffdiff2FCover20","Gng8"
"GNGT2","MicrogliByothersCuffdiff2FCover20","Gngt2"
"GNL3","NewOligoByothersCuffdiff2FCover20","Gnl3"
"GNRH1","NeuronByothersCuffdiff2FCover20","Gnrh1"
"GNS","MicrogliByothersCuffdiff2FCover20","Gns"
"GOLM1","MicrogliByothersCuffdiff2FCover20","Golm1"
"GP9","MicrogliByothersCuffdiff2FCover20","Gp9"
"GPAT2","MicrogliByothersCuffdiff2FCover20","Gpat2"
"GPC1","NeuronByothersCuffdiff2FCover20","Gpc1"
"GPC4","AstroByothersCuffdiff2FCover20","Gpc4"
"GPC5","AstroByothersCuffdiff2FCover20","Gpc5"
"GPCPD1","EndotheByothersCuffdiff2FCover20","Gpcpd1"
"GPD2","AstroByothersCuffdiff2FCover20","Gpd2"
"GPIHBP1","EndotheByothersCuffdiff2FCover20","Gpihbp1"
"GPM6B","NeuronByothersCuffdiff2FCover20","Gpm6b"
"GPR12","NeuronByothersCuffdiff2FCover20","Gpr12"
"GPR143","EndotheByothersCuffdiff2FCover20","Gpr143"
"GPR149","NeuronByothersCuffdiff2FCover20","Gpr149"
"GPR151","NeuronByothersCuffdiff2FCover20","Gpr151"
"GPR157","MicrogliByothersCuffdiff2FCover20","Gpr157"
"GPR160","EndotheByothersCuffdiff2FCover20","Gpr160"
"GPR179","AstroByothersCuffdiff2FCover20","Gpr179"
"GPR18","MicrogliByothersCuffdiff2FCover20","Gpr18"
"GPR183","MicrogliByothersCuffdiff2FCover20","Gpr183"
"GPR22","NeuronByothersCuffdiff2FCover20","Gpr22"
"GPR34","MicrogliByothersCuffdiff2FCover20","Gpr34"
"GPR35","MicrogliByothersCuffdiff2FCover20","Gpr35"
"GPR37","MyeOligoByothersCuffdiff2FCover20","Gpr37"
"GPR62","MyeOligoByothersCuffdiff2FCover20","Gpr62"
"GPR65","MicrogliByothersCuffdiff2FCover20","Gpr65"
"GPR83","NeuronByothersCuffdiff2FCover20","Gpr83"
"GPRASP1","NeuronByothersCuffdiff2FCover20","Gprasp1"
"GPRC5B","MyeOligoByothersCuffdiff2FCover20","Gprc5b"
"GPRC5C","MicrogliByothersCuffdiff2FCover20","Gprc5c"
"GPRIN3","NeuronByothersCuffdiff2FCover20","Gprin3"
"GPSM3","MicrogliByothersCuffdiff2FCover20","Gpsm3"
"GRAMD1A","MicrogliByothersCuffdiff2FCover20","Gramd1a"
"GRAMD1B","MicrogliByothersCuffdiff2FCover20","Gramd1b"
"GRB10","EndotheByothersCuffdiff2FCover20","Grb10"
"GRB14","MyeOligoByothersCuffdiff2FCover20","Grb14"
"GRB7","EndotheByothersCuffdiff2FCover20","Grb7"
"GREM2","NeuronByothersCuffdiff2FCover20","Grem2"
"GRHL1","AstroByothersCuffdiff2FCover20","Grhl1"
"GRHPR","MicrogliByothersCuffdiff2FCover20","Grhpr"
"GRIA1","NeuronByothersCuffdiff2FCover20","Gria1"
"GRIA3","PreOligoByothersCuffdiff2FCover20","Gria3"
"GRID2IP","NeuronByothersCuffdiff2FCover20","Grid2ip"
"GRIK1","NeuronByothersCuffdiff2FCover20","Grik1"
"GRIN1","NeuronByothersCuffdiff2FCover20","Grin1"
"GRIP1","NeuronByothersCuffdiff2FCover20","Grip1"
"GRIP2","NeuronByothersCuffdiff2FCover20","Grip2"
"GRIPAP1","MicrogliByothersCuffdiff2FCover20","Gripap1"
"GRK6","MyeOligoByothersCuffdiff2FCover20","Grk6"
"GRM2","NeuronByothersCuffdiff2FCover20","Grm2"
"GRM3","AstroByothersCuffdiff2FCover20","Grm3"
"GRM5","AstroByothersCuffdiff2FCover20","Grm5"
"GRN","MicrogliByothersCuffdiff2FCover20","Grn"
"FAM110D","EndotheByothersCuffdiff2FCover20","Grrp1"
"GRTP1","AstroByothersCuffdiff2FCover20","Grtp1"
"GSDMD","MicrogliByothersCuffdiff2FCover20","Gsdmd"
"GSG1","MicrogliByothersCuffdiff2FCover20","Gsg1"
"GSN","MyeOligoByothersCuffdiff2FCover20","Gsn"
"GSPT1","PreOligoByothersCuffdiff2FCover20","Gspt1"
"GSTM1","EndotheByothersCuffdiff2FCover20","Gstm2"
"GSTM3","MyeOligoByothersCuffdiff2FCover20","Gstm5"
"GSTT2B","EndotheByothersCuffdiff2FCover20","Gstt2"
"GSTT2","EndotheByothersCuffdiff2FCover20","Gstt2"
"GTDC1","MicrogliByothersCuffdiff2FCover20","Gtdc1"
"GTF2A2","EndotheByothersCuffdiff2FCover20","Gtf2a2"
"GTF2I","MyeOligoByothersCuffdiff2FCover20","Gtf2i"
"GTF2IRD2B","MicrogliByothersCuffdiff2FCover20","Gtf2ird2"
"GTF2IRD2","MicrogliByothersCuffdiff2FCover20","Gtf2ird2"
"GTPBP1","MicrogliByothersCuffdiff2FCover20","Gtpbp1"
"GUCA1A","MicrogliByothersCuffdiff2FCover20","Guca1a"
"GUSB","MicrogliByothersCuffdiff2FCover20","Gusb"
"HLA-DMB","MicrogliByothersCuffdiff2FCover20","H2-DMb1"
"HLA-DOA","MicrogliByothersCuffdiff2FCover20","H2-Oa"
"HLA-DOB","MicrogliByothersCuffdiff2FCover20","H2-Ob"
"HAAO","MicrogliByothersCuffdiff2FCover20","Haao"
"HAGH","AstroByothersCuffdiff2FCover20","Hagh"
"HAPLN1","AstroByothersCuffdiff2FCover20","Hapln1"
"HAPLN2","MyeOligoByothersCuffdiff2FCover20","Hapln2"
"HAUS3","MicrogliByothersCuffdiff2FCover20","Haus3"
"HAVCR2","MicrogliByothersCuffdiff2FCover20","Havcr2"
"HCAR2","MicrogliByothersCuffdiff2FCover20","Hcar2"
"HCAR3","MicrogliByothersCuffdiff2FCover20","Hcar2"
"HCK","MicrogliByothersCuffdiff2FCover20","Hck"
"HCLS1","MicrogliByothersCuffdiff2FCover20","Hcls1"
"HCN1","NeuronByothersCuffdiff2FCover20","Hcn1"
"HCN4","NeuronByothersCuffdiff2FCover20","Hcn4"
"HCST","MicrogliByothersCuffdiff2FCover20","Hcst"
"HDAC8","AstroByothersCuffdiff2FCover20","Hdac8"
"HEATR5A","MyeOligoByothersCuffdiff2FCover20","Heatr5a"
"HECTD1","MicrogliByothersCuffdiff2FCover20","Hectd1"
"HECW1","NeuronByothersCuffdiff2FCover20","Hecw1"
"HECW2","PreOligoByothersCuffdiff2FCover20","Hecw2"
"HEG1","EndotheByothersCuffdiff2FCover20","Heg1"
"HELB","MicrogliByothersCuffdiff2FCover20","Helb"
"HELZ","MicrogliByothersCuffdiff2FCover20","Helz"
"HELZ2","EndotheByothersCuffdiff2FCover20","Helz2"
"HERC4","NeuronByothersCuffdiff2FCover20","Herc4"
"HERC6","AstroByothersCuffdiff2FCover20","Herc6"
"HES5","AstroByothersCuffdiff2FCover20","Hes5"
"HEXA","MicrogliByothersCuffdiff2FCover20","Hexa"
"HEXB","MicrogliByothersCuffdiff2FCover20","Hexb"
"HEY2","AstroByothersCuffdiff2FCover20","Hey2"
"HFE","MicrogliByothersCuffdiff2FCover20","Hfe"
"HGF","AstroByothersCuffdiff2FCover20","Hgf"
"HIC1","EndotheByothersCuffdiff2FCover20","Hic1"
"HIF3A","MicrogliByothersCuffdiff2FCover20","Hif3a"
"HIGD1B","EndotheByothersCuffdiff2FCover20","Higd1b"
"HINT2","MyeOligoByothersCuffdiff2FCover20","Hint2"
"HIST1H2BG","MyeOligoByothersCuffdiff2FCover20","Hist1h2be"
"HK1","NewOligoByothersCuffdiff2FCover20","Hk1"
"HK2","MicrogliByothersCuffdiff2FCover20","Hk2"
"HK3","MicrogliByothersCuffdiff2FCover20","Hk3"
"HLTF","NeuronByothersCuffdiff2FCover20","Hltf"
"HMCN1","EndotheByothersCuffdiff2FCover20","Hmcn1"
"HMGA1","MicrogliByothersCuffdiff2FCover20","Hmga1"
"HMGCR","AstroByothersCuffdiff2FCover20","Hmgcr"
"HMGCS2","EndotheByothersCuffdiff2FCover20","Hmgcs2"
"HMGN3","MicrogliByothersCuffdiff2FCover20","Hmgn3"
"HMOX1","MicrogliByothersCuffdiff2FCover20","Hmox1"
"HNRNPD","AstroByothersCuffdiff2FCover20","Hnrnpd"
"HNRNPDL","PreOligoByothersCuffdiff2FCover20","Hnrnpdl"
"HNRNPF","MicrogliByothersCuffdiff2FCover20","Hnrnpf"
"HNRNPK","PreOligoByothersCuffdiff2FCover20","Hnrnpk"
"HNRNPU","NeuronByothersCuffdiff2FCover20","Hnrnpu"
"HOMEZ","NewOligoByothersCuffdiff2FCover20","Homez"
"HPR","MicrogliByothersCuffdiff2FCover20","Hp"
"HP","MicrogliByothersCuffdiff2FCover20","Hp"
"HPCA","NeuronByothersCuffdiff2FCover20","Hpca"
"HPGDS","MicrogliByothersCuffdiff2FCover20","Hpgds"
"HPN","MicrogliByothersCuffdiff2FCover20","Hpn"
"HPS4","MicrogliByothersCuffdiff2FCover20","Hps4"
"HPSE","MicrogliByothersCuffdiff2FCover20","Hpse"
"HRC","MicrogliByothersCuffdiff2FCover20","Hrc"
"HRCT1","EndotheByothersCuffdiff2FCover20","Hrct1"
"HRH2","MicrogliByothersCuffdiff2FCover20","Hrh2"
"HS3ST5","NeuronByothersCuffdiff2FCover20","Hs3st5"
"HS6ST3","NeuronByothersCuffdiff2FCover20","Hs6st3"
"HSD11B1","MyeOligoByothersCuffdiff2FCover20","Hsd11b1"
"HSF2BP","MicrogliByothersCuffdiff2FCover20","Hsf2bp"
"HSF4","EndotheByothersCuffdiff2FCover20","Hsf4"
"HSPA12B","EndotheByothersCuffdiff2FCover20","Hspa12b"
"HSPA1A","MicrogliByothersCuffdiff2FCover20","Hspa1a"
"HSPA1B","MicrogliByothersCuffdiff2FCover20","Hspa1a"
"HSPB1","EndotheByothersCuffdiff2FCover20","Hspb1"
"HSPB2","EndotheByothersCuffdiff2FCover20","Hspb2"
"HSPB2-C11orf52","EndotheByothersCuffdiff2FCover20","Hspb2"
"HSPB3","MicrogliByothersCuffdiff2FCover20","Hspb3"
"HTR2C","NeuronByothersCuffdiff2FCover20","Htr2c"
"HTR3A","NeuronByothersCuffdiff2FCover20","Htr3a"
"HTR7","NeuronByothersCuffdiff2FCover20","Htr7"
"HTRA1","AstroByothersCuffdiff2FCover20","Htra1"
"HTRA2","MicrogliByothersCuffdiff2FCover20","Htra2"
"HTRA3","EndotheByothersCuffdiff2FCover20","Htra3"
"HVCN1","MicrogliByothersCuffdiff2FCover20","Hvcn1"
"HYAL1","AstroByothersCuffdiff2FCover20","Hyal1"
"HYAL2","EndotheByothersCuffdiff2FCover20","Hyal2"
"C1orf162","NeuronByothersCuffdiff2FCover20","I830077J02Rik"
"ICAM1","MicrogliByothersCuffdiff2FCover20","Icam1"
"ICAM2","EndotheByothersCuffdiff2FCover20","Icam2"
"ICOS","MicrogliByothersCuffdiff2FCover20","Icos"
"ICOSLG","MicrogliByothersCuffdiff2FCover20","Icosl"
"IER3","MicrogliByothersCuffdiff2FCover20","Ier3"
"IER5","MicrogliByothersCuffdiff2FCover20","Ier5"
"IFI27L2","MicrogliByothersCuffdiff2FCover20","Ifi27l2a"
"IFI44","EndotheByothersCuffdiff2FCover20","Ifi44"
"IFITM2","EndotheByothersCuffdiff2FCover20","Ifitm1"
"IFITM1","EndotheByothersCuffdiff2FCover20","Ifitm1"
"IFITM3","EndotheByothersCuffdiff2FCover20","Ifitm1"
"IFITM10","MicrogliByothersCuffdiff2FCover20","Ifitm10"
"IFNAR1","EndotheByothersCuffdiff2FCover20","Ifnar1"
"IFT140","MicrogliByothersCuffdiff2FCover20","Ift140"
"IFT43","MicrogliByothersCuffdiff2FCover20","Ift43"
"IFT80","MyeOligoByothersCuffdiff2FCover20","Ift80"
"IGDCC4","AstroByothersCuffdiff2FCover20","Igdcc4"
"IGF1","NeuronByothersCuffdiff2FCover20","Igf1"
"IGF2","EndotheByothersCuffdiff2FCover20","Igf2"
"IGFBP2","AstroByothersCuffdiff2FCover20","Igfbp2"
"IGFBP7","EndotheByothersCuffdiff2FCover20","Igfbp7"
"IGFBPL1","NeuronByothersCuffdiff2FCover20","Igfbpl1"
"IGHM","MicrogliByothersCuffdiff2FCover20","Ighm"
"IGKC","MicrogliByothersCuffdiff2FCover20","Igkc"
"IGLC2","MicrogliByothersCuffdiff2FCover20","Iglc2"
"IGLL5","MicrogliByothersCuffdiff2FCover20","Iglc2"
"IGLL1","MicrogliByothersCuffdiff2FCover20","Iglc2"
"IGLC3","MicrogliByothersCuffdiff2FCover20","Iglc2"
"IGLC7","MicrogliByothersCuffdiff2FCover20","Iglc2"
"IGLC1","MicrogliByothersCuffdiff2FCover20","Iglc2"
"IGSF1","AstroByothersCuffdiff2FCover20","Igsf1"
"IGSF6","MicrogliByothersCuffdiff2FCover20","Igsf6"
"IGSF8","MyeOligoByothersCuffdiff2FCover20","Igsf8"
"IGSF9","NeuronByothersCuffdiff2FCover20","Igsf9"
"IKZF1","MicrogliByothersCuffdiff2FCover20","Ikzf1"
"IL10","MicrogliByothersCuffdiff2FCover20","Il10"
"IL10RA","MicrogliByothersCuffdiff2FCover20","Il10ra"
"IL11RA","EndotheByothersCuffdiff2FCover20","Il11ra1"
"IL12B","MicrogliByothersCuffdiff2FCover20","Il12b"
"IL15","MicrogliByothersCuffdiff2FCover20","Il15"
"IL15RA","AstroByothersCuffdiff2FCover20","Il15ra"
"IL16","MicrogliByothersCuffdiff2FCover20","Il16"
"IL17RA","MicrogliByothersCuffdiff2FCover20","Il17ra"
"IL1A","MicrogliByothersCuffdiff2FCover20","Il1a"
"IL1B","MicrogliByothersCuffdiff2FCover20","Il1b"
"IL1R1","EndotheByothersCuffdiff2FCover20","Il1r1"
"IL1R2","MicrogliByothersCuffdiff2FCover20","Il1r2"
"IL1RL1","MicrogliByothersCuffdiff2FCover20","Il1rl1"
"IL1RL2","MicrogliByothersCuffdiff2FCover20","Il1rl2"
"IL1RN","MicrogliByothersCuffdiff2FCover20","Il1rn"
"IL21R","MicrogliByothersCuffdiff2FCover20","Il21r"
"IL27RA","EndotheByothersCuffdiff2FCover20","Il27ra"
"IL2RB","MicrogliByothersCuffdiff2FCover20","Il2rb"
"IL2RG","EndotheByothersCuffdiff2FCover20","Il2rg"
"IL33","AstroByothersCuffdiff2FCover20","Il33"
"IL34","NeuronByothersCuffdiff2FCover20","Il34"
"IL4I1","MicrogliByothersCuffdiff2FCover20","Il4i1"
"IL4R","MicrogliByothersCuffdiff2FCover20","Il4ra"
"IL6R","MicrogliByothersCuffdiff2FCover20","Il6ra"
"IL7R","MicrogliByothersCuffdiff2FCover20","Il7r"
"ILDR1","MicrogliByothersCuffdiff2FCover20","Ildr1"
"IMPDH1","EndotheByothersCuffdiff2FCover20","Impdh1"
"INA","NeuronByothersCuffdiff2FCover20","Ina"
"ING5","NeuronByothersCuffdiff2FCover20","Ing5"
"INO80E","MicrogliByothersCuffdiff2FCover20","Ino80e"
"INPP4A","MyeOligoByothersCuffdiff2FCover20","Inpp4a"
"INPP5A","NeuronByothersCuffdiff2FCover20","Inpp5a"
"INPP5D","MicrogliByothersCuffdiff2FCover20","Inpp5d"
"INPP5F","NeuronByothersCuffdiff2FCover20","Inpp5f"
"INSC","MyeOligoByothersCuffdiff2FCover20","Insc"
"INSIG2","MyeOligoByothersCuffdiff2FCover20","Insig2"
"INSM2","NeuronByothersCuffdiff2FCover20","Insm2"
"INTS1","AstroByothersCuffdiff2FCover20","Ints1"
"IP6K3","MicrogliByothersCuffdiff2FCover20","Ip6k3"
"IPO11","NeuronByothersCuffdiff2FCover20","Ipo11"
"IQCG","EndotheByothersCuffdiff2FCover20","Iqcg"
"IQSEC2","MicrogliByothersCuffdiff2FCover20","Iqsec2"
"IQSEC3","NeuronByothersCuffdiff2FCover20","Iqsec3"
"IRAK2","MicrogliByothersCuffdiff2FCover20","Irak2"
"IREB2","MicrogliByothersCuffdiff2FCover20","Ireb2"
"IRF2","NewOligoByothersCuffdiff2FCover20","Irf2"
"IRF4","MicrogliByothersCuffdiff2FCover20","Irf4"
"IRF5","MicrogliByothersCuffdiff2FCover20","Irf5"
"IRF7","EndotheByothersCuffdiff2FCover20","Irf7"
"IRX3","EndotheByothersCuffdiff2FCover20","Irx3"
"ISCU","MicrogliByothersCuffdiff2FCover20","Iscu"
"ISL1","NeuronByothersCuffdiff2FCover20","Isl1"
"ISLR2","NeuronByothersCuffdiff2FCover20","Islr2"
"ISM1","EndotheByothersCuffdiff2FCover20","Ism1"
"ISYNA1","MicrogliByothersCuffdiff2FCover20","Isyna1"
"ITCH","AstroByothersCuffdiff2FCover20","Itch"
"ITGA1","EndotheByothersCuffdiff2FCover20","Itga1"
"ITGA3","NeuronByothersCuffdiff2FCover20","Itga3"
"ITGA4","EndotheByothersCuffdiff2FCover20","Itga4"
"ITGA6","AstroByothersCuffdiff2FCover20","Itga6"
"ITGA7","AstroByothersCuffdiff2FCover20","Itga7"
"ITGAD","MyeOligoByothersCuffdiff2FCover20","Itgad"
"ITGAE","MicrogliByothersCuffdiff2FCover20","Itgae"
"ITGAL","MicrogliByothersCuffdiff2FCover20","Itgal"
"ITGAM","MicrogliByothersCuffdiff2FCover20","Itgam"
"ITGAV","MicrogliByothersCuffdiff2FCover20","Itgav"
"ITGAX","MicrogliByothersCuffdiff2FCover20","Itgax"
"ITGB2","MicrogliByothersCuffdiff2FCover20","Itgb2"
"ITGB4","MyeOligoByothersCuffdiff2FCover20","Itgb4"
"ITGB5","MicrogliByothersCuffdiff2FCover20","Itgb5"
"ITGBL1","NeuronByothersCuffdiff2FCover20","Itgbl1"
"ITIH2","PreOligoByothersCuffdiff2FCover20","Itih2"
"ITIH3","AstroByothersCuffdiff2FCover20","Itih3"
"ITM2A","EndotheByothersCuffdiff2FCover20","Itm2a"
"ITPR1","EndotheByothersCuffdiff2FCover20","Itpr1"
"ITPRIPL1","MicrogliByothersCuffdiff2FCover20","Itpripl1"
"ITSN1","AstroByothersCuffdiff2FCover20","Itsn1"
"IZUMO1","EndotheByothersCuffdiff2FCover20","Izumo1"
"IZUMO4","EndotheByothersCuffdiff2FCover20","Izumo4"
"JADE2","MicrogliByothersCuffdiff2FCover20","Jade2"
"JAK3","MicrogliByothersCuffdiff2FCover20","Jak3"
"JAKMIP1","NeuronByothersCuffdiff2FCover20","Jakmip1"
"JOSD2","MyeOligoByothersCuffdiff2FCover20","Josd2"
"JPH4","NeuronByothersCuffdiff2FCover20","Jph4"
"KANK3","EndotheByothersCuffdiff2FCover20","Kank3"
"KANK4","EndotheByothersCuffdiff2FCover20","Kank4"
"KAT14","MicrogliByothersCuffdiff2FCover20","Kat14"
"KAT7","NeuronByothersCuffdiff2FCover20","Kat7"
"KCNA2","AstroByothersCuffdiff2FCover20","Kcna2"
"KCNA4","NeuronByothersCuffdiff2FCover20","Kcna4"
"KCNA7","MicrogliByothersCuffdiff2FCover20","Kcna7"
"KCNAB2","MicrogliByothersCuffdiff2FCover20","Kcnab2"
"KCNC2","NeuronByothersCuffdiff2FCover20","Kcnc2"
"KCNE3","EndotheByothersCuffdiff2FCover20","Kcne3"
"KCNH1","NeuronByothersCuffdiff2FCover20","Kcnh1"
"KCNH7","NeuronByothersCuffdiff2FCover20","Kcnh7"
"KCNIP1","NeuronByothersCuffdiff2FCover20","Kcnip1"
"KCNIP2","NeuronByothersCuffdiff2FCover20","Kcnip2"
"KCNIP4","NeuronByothersCuffdiff2FCover20","Kcnip4"
"KCNJ2","EndotheByothersCuffdiff2FCover20","Kcnj2"
"KCNJ5","NeuronByothersCuffdiff2FCover20","Kcnj5"
"KCNJ8","EndotheByothersCuffdiff2FCover20","Kcnj8"
"KCNK12","MicrogliByothersCuffdiff2FCover20","Kcnk12"
"KCNK2","PreOligoByothersCuffdiff2FCover20","Kcnk2"
"KCNK6","MicrogliByothersCuffdiff2FCover20","Kcnk6"
"KCNK9","NeuronByothersCuffdiff2FCover20","Kcnk9"
"KCNMB2","NeuronByothersCuffdiff2FCover20","Kcnmb2"
"KCNN1","MyeOligoByothersCuffdiff2FCover20","Kcnn1"
"KCNN2","AstroByothersCuffdiff2FCover20","Kcnn2"
"KCNN3","AstroByothersCuffdiff2FCover20","Kcnn3"
"KCNN4","MicrogliByothersCuffdiff2FCover20","Kcnn4"
"KCNQ1","EndotheByothersCuffdiff2FCover20","Kcnq1"
"KCNQ2","NeuronByothersCuffdiff2FCover20","Kcnq2"
"KCNQ5","NeuronByothersCuffdiff2FCover20","Kcnq5"
"KCNS2","NeuronByothersCuffdiff2FCover20","Kcns2"
"KCNT1","NeuronByothersCuffdiff2FCover20","Kcnt1"
"KCP","EndotheByothersCuffdiff2FCover20","Kcp"
"KCTD10","EndotheByothersCuffdiff2FCover20","Kctd10"
"KCTD12","MicrogliByothersCuffdiff2FCover20","Kctd12"
"KCTD13","MyeOligoByothersCuffdiff2FCover20","Kctd13"
"KCTD14","AstroByothersCuffdiff2FCover20","Kctd14"
"KCTD16","NeuronByothersCuffdiff2FCover20","Kctd16"
"KCTD5","AstroByothersCuffdiff2FCover20","Kctd5"
"KCTD8","NeuronByothersCuffdiff2FCover20","Kctd8"
"KCTD9","MicrogliByothersCuffdiff2FCover20","Kctd9"
"KDM1A","NeuronByothersCuffdiff2FCover20","Kdm1a"
"KDM4C","MicrogliByothersCuffdiff2FCover20","Kdm4c"
"KDM5D","AstroByothersCuffdiff2FCover20","Kdm5d"
"KDR","EndotheByothersCuffdiff2FCover20","Kdr"
"KHDRBS3","PreOligoByothersCuffdiff2FCover20","Khdrbs3"
"KHK","MicrogliByothersCuffdiff2FCover20","Khk"
"KIF19","NewOligoByothersCuffdiff2FCover20","Kif19a"
"KIF1A","MyeOligoByothersCuffdiff2FCover20","Kif1a"
"KIF21A","AstroByothersCuffdiff2FCover20","Kif21a"
"KIF23","PreOligoByothersCuffdiff2FCover20","Kif23"
"KIF3C","MyeOligoByothersCuffdiff2FCover20","Kif3c"
"KITLG","EndotheByothersCuffdiff2FCover20","Kitl"
"KLC3","PreOligoByothersCuffdiff2FCover20","Klc3"
"KLHDC3","NeuronByothersCuffdiff2FCover20","Klhdc3"
"KLHDC8B","MicrogliByothersCuffdiff2FCover20","Klhdc8b"
"KLHL1","NeuronByothersCuffdiff2FCover20","Klhl1"
"KLHL38","MicrogliByothersCuffdiff2FCover20","Klhl38"
"KLK6","MyeOligoByothersCuffdiff2FCover20","Klk6"
"KLRD1","MicrogliByothersCuffdiff2FCover20","Klrd1"
"KMT5B","PreOligoByothersCuffdiff2FCover20","Kmt5b"
"KPTN","MicrogliByothersCuffdiff2FCover20","Kptn"
"KRT73","NeuronByothersCuffdiff2FCover20","Krt73"
"KTN1","AstroByothersCuffdiff2FCover20","Ktn1"
"L1CAM","NeuronByothersCuffdiff2FCover20","L1cam"
"L3MBTL1","NeuronByothersCuffdiff2FCover20","L3mbtl1"
"LACTB","EndotheByothersCuffdiff2FCover20","Lactb"
"LAG3","MicrogliByothersCuffdiff2FCover20","Lag3"
"LAIR1","MicrogliByothersCuffdiff2FCover20","Lair1"
"LAMA4","EndotheByothersCuffdiff2FCover20","Lama4"
"LAMB1","EndotheByothersCuffdiff2FCover20","Lamb1"
"LAP3","AstroByothersCuffdiff2FCover20","Lap3"
"LAPTM5","MicrogliByothersCuffdiff2FCover20","Laptm5"
"LASP1","MicrogliByothersCuffdiff2FCover20","Lasp1"
"LAT","MicrogliByothersCuffdiff2FCover20","Lat"
"LAT2","MicrogliByothersCuffdiff2FCover20","Lat2"
"LBR","EndotheByothersCuffdiff2FCover20","Lbr"
"LBX1","MicrogliByothersCuffdiff2FCover20","Lbx1"
"LBX2","MicrogliByothersCuffdiff2FCover20","Lbx2"
"LCK","MicrogliByothersCuffdiff2FCover20","Lck"
"LCP1","MicrogliByothersCuffdiff2FCover20","Lcp1"
"LCP2","MicrogliByothersCuffdiff2FCover20","Lcp2"
"LDAH","MyeOligoByothersCuffdiff2FCover20","Ldah"
"LDB3","MyeOligoByothersCuffdiff2FCover20","Ldb3"
"LEF1","EndotheByothersCuffdiff2FCover20","Lef1"
"LEFTY1","MicrogliByothersCuffdiff2FCover20","Lefty1"
"LEFTY2","MicrogliByothersCuffdiff2FCover20","Lefty1"
"LEKR1","MicrogliByothersCuffdiff2FCover20","Lekr1"
"LEPR","EndotheByothersCuffdiff2FCover20","Lepr"
"LFNG","MicrogliByothersCuffdiff2FCover20","Lfng"
"LGALS1","MicrogliByothersCuffdiff2FCover20","Lgals1"
"LGALS3","MicrogliByothersCuffdiff2FCover20","Lgals3"
"LGALS7","NeuronByothersCuffdiff2FCover20","Lgals7"
"LGALS7B","NeuronByothersCuffdiff2FCover20","Lgals7"
"LGI1","NeuronByothersCuffdiff2FCover20","Lgi1"
"LGMN","MicrogliByothersCuffdiff2FCover20","Lgmn"
"LGR4","MyeOligoByothersCuffdiff2FCover20","Lgr4"
"LGR6","AstroByothersCuffdiff2FCover20","Lgr6"
"LHFPL3","PreOligoByothersCuffdiff2FCover20","Lhfpl3"
"LHFPL5","NeuronByothersCuffdiff2FCover20","Lhfpl5"
"LHPP","MyeOligoByothersCuffdiff2FCover20","Lhpp"
"LHX1","NeuronByothersCuffdiff2FCover20","Lhx1"
"LHX2","AstroByothersCuffdiff2FCover20","Lhx2"
"LHX5","NeuronByothersCuffdiff2FCover20","Lhx5"
"LHX6","NeuronByothersCuffdiff2FCover20","Lhx6"
"LHX8","NeuronByothersCuffdiff2FCover20","Lhx8"
"LHX9","NeuronByothersCuffdiff2FCover20","Lhx9"
"LIF","MicrogliByothersCuffdiff2FCover20","Lif"
"LIMCH1","NeuronByothersCuffdiff2FCover20","Limch1"
"LIMD2","MicrogliByothersCuffdiff2FCover20","Limd2"
"LIMK1","MicrogliByothersCuffdiff2FCover20","Limk1"
"LIMK2","NeuronByothersCuffdiff2FCover20","Limk2"
"LIMS2","EndotheByothersCuffdiff2FCover20","Lims2"
"LIN28B","NeuronByothersCuffdiff2FCover20","Lin28b"
"LINGO1","NeuronByothersCuffdiff2FCover20","Lingo1"
"LINGO2","NeuronByothersCuffdiff2FCover20","Lingo2"
"LIPC","EndotheByothersCuffdiff2FCover20","Lipc"
"LIPE","EndotheByothersCuffdiff2FCover20","Lipe"
"LIPH","MicrogliByothersCuffdiff2FCover20","Liph"
"LMBR1","EndotheByothersCuffdiff2FCover20","Lmbr1"
"LMNTD1","EndotheByothersCuffdiff2FCover20","Lmntd1"
"LMO2","EndotheByothersCuffdiff2FCover20","Lmo2"
"LNX1","PreOligoByothersCuffdiff2FCover20","Lnx1"
"LONRF2","NeuronByothersCuffdiff2FCover20","Lonrf2"
"LONRF3","AstroByothersCuffdiff2FCover20","Lonrf3"
"LOXL1","AstroByothersCuffdiff2FCover20","Loxl1"
"LPAR1","MyeOligoByothersCuffdiff2FCover20","Lpar1"
"LPAR5","MicrogliByothersCuffdiff2FCover20","Lpar5"
"LPCAT2","MicrogliByothersCuffdiff2FCover20","Lpcat2"
"LPIN1","EndotheByothersCuffdiff2FCover20","Lpin1"
"LPIN2","NeuronByothersCuffdiff2FCover20","Lpin2"
"LPXN","MicrogliByothersCuffdiff2FCover20","Lpxn"
"LRBA","MicrogliByothersCuffdiff2FCover20","Lrba"
"LRCH2","NeuronByothersCuffdiff2FCover20","Lrch2"
"LRCH3","MyeOligoByothersCuffdiff2FCover20","Lrch3"
"LRCH4","MicrogliByothersCuffdiff2FCover20","Lrch4"
"LRFN5","NeuronByothersCuffdiff2FCover20","Lrfn5"
"LRIG1","AstroByothersCuffdiff2FCover20","Lrig1"
"LRMP","MicrogliByothersCuffdiff2FCover20","Lrmp"
